Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,own_FDR,opp_FDR,gw,season,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts,player
18,18,18,18.0,0,,,,0,7,0,,,4.6,,,140,,,185,,4,0,3.4,,7.8,,2021-01-17T19:15:00Z,,,,90,,,12,0,,0,0,,0,19,0,115066,,,,0,4,22.0,2,-2286,2737,5023,56,False,,0,2,5,19,2020-21,,,,,,Jordan_Ayew
19,19,19,19.0,1,,,,0,16,0,,,34.0,,,140,,,195,,0,0,6.0,,23.8,,2021-01-26T18:00:00Z,,,,17,,,19,0,,0,0,,0,20,0,114816,,,,3,2,2.0,4,-1240,3817,5057,56,True,,0,3,4,20,2020-21,,,,,,Jordan_Ayew
20,20,20,20.0,1,,,,0,22,1,,,24.4,,,140,,,202,,0,0,5.3,,25.0,,2021-01-30T15:00:00Z,,,,90,,,20,0,,0,0,,0,21,0,115183,,,,0,1,4.0,5,83,2942,2859,56,True,,0,3,2,21,2020-21,,,,,,Jordan_Ayew
21,21,21,21.0,0,,,,0,-4,0,,,3.6,,,140,,,217,,1,0,2.9,,5.8,,2021-02-02T20:15:00Z,,,,90,,,14,0,,0,0,,0,22,0,126261,,,,2,1,20.0,1,10314,13036,2722,56,False,,1,2,2,22,2020-21,,,,,,Jordan_Ayew
22,22,22,22.0,0,,,,0,2,0,,,15.2,,,140,,,222,,2,0,6.4,,6.0,,2021-02-08T20:00:00Z,,,,75,,,10,0,,0,0,,0,23,0,124942,,,,0,2,43.0,2,-1413,4795,6208,56,False,,0,2,3,23,2020-21,,,,,,Jordan_Ayew
23,23,23,23.0,0,,,,0,15,0,,,30.7,,,140,,,232,,3,0,8.3,,18.0,,2021-02-13T15:00:00Z,,,,90,,,4,0,,0,0,,0,24,0,127259,,,,3,0,34.0,2,1698,9180,7482,56,True,,0,3,2,24,2020-21,,,,,,Jordan_Ayew
24,24,24,24.0,1,,,,0,19,0,,,14.9,,,140,,,241,,1,0,4.7,,32.4,,2021-02-22T20:00:00Z,,,,90,,,3,0,,0,0,,0,25,0,126344,,,,2,1,0.0,5,-1362,5319,6681,56,False,,0,2,3,25,2020-21,,,,,,Jordan_Ayew
25,25,25,25.0,0,,,,0,1,1,,,11.8,,,140,,,250,,0,0,1.7,,3.0,,2021-02-28T12:00:00Z,,,,90,,,8,0,,0,0,,0,26,0,140330,,,,0,0,2.0,2,12476,18950,6474,56,True,,0,3,2,26,2020-21,,,,,,Jordan_Ayew
26,26,26,26.0,0,,,,0,15,1,,,2.4,,,140,,,281,,0,0,3.5,,11.8,,2021-03-03T20:15:00Z,,,,90,,,13,0,,0,0,,0,26,0,140330,,,,0,0,21.0,2,12476,18950,6474,56,True,,0,3,4,26,2020-21,,,,,,Jordan_Ayew
27,27,27,27.0,0,,,,0,-1,0,,,1.3,,,140,,,266,,4,0,0.9,,6.0,,2021-03-07T19:15:00Z,,,,90,,,17,0,,0,0,,0,27,0,135398,,,,1,4,2.0,1,-4305,2737,7042,56,False,,1,2,4,27,2020-21,,,,,,Jordan_Ayew
28,28,28,28.0,0,,,,0,9,1,,,3.8,,,140,,,270,,0,0,1.5,,6.4,,2021-03-13T15:00:00Z,,,,83,,,18,0,,0,0,,0,28,0,132752,,,,0,1,5.0,2,-2979,2924,5903,56,True,,0,3,2,28,2020-21,,,,,,Jordan_Ayew
29,29,29,29.0,0,,,,0,9,0,,,13.3,,,140,,,292,,1,0,4.6,,11.6,,2021-04-05T17:00:00Z,,,,83,,,7,0,,0,0,,0,30,0,123671,,,,1,1,21.0,2,-3375,788,4163,56,False,,0,2,3,30,2020-21,,,,,,Jordan_Ayew
30,30,30,30.0,0,,,,0,13,0,,,8.7,,,140,,,301,,3,0,2.4,,10.8,,2021-04-10T16:30:00Z,,,,75,,,5,0,,0,0,,0,31,0,122044,,,,4,1,4.0,2,-1762,1206,2968,56,True,,0,3,4,31,2020-21,,,,,,Jordan_Ayew
31,31,31,31.0,0,,,,0,0,0,,,1.4,,,140,,,323,,1,0,0.1,,0.0,,2021-04-26T19:00:00Z,,,,77,,,9,0,,0,0,,0,33,0,118547,,,,1,2,0.0,2,-981,616,1597,56,False,,0,2,4,33,2020-21,,,,,,Jordan_Ayew
32,32,32,32.0,0,,,,0,4,0,,,0.3,,,140,,,332,,0,0,0.7,,7.0,,2021-05-01T11:30:00Z,,,,8,,,12,0,,0,0,,0,34,0,117478,,,,2,0,0.0,1,-1205,471,1676,56,True,,0,3,4,34,2020-21,,,,,,Jordan_Ayew
33,33,33,33.0,0,,,,0,0,0,,,1.2,,,140,,,346,,0,0,3.9,,3.0,,2021-05-08T14:00:00Z,,,,15,,,15,0,,0,0,,0,35,0,118304,,,,2,0,35.0,1,678,2109,1431,56,False,,0,2,2,35,2020-21,,,,,,Jordan_Ayew
34,34,34,34.0,0,,,,0,-1,0,,,14.8,,,140,,,317,,2,0,3.9,,4.2,,2021-05-11T19:15:00Z,,,,71,,,16,0,,0,0,,0,35,0,118304,,,,1,3,20.0,1,678,2109,1431,56,False,,1,2,2,35,2020-21,,,,,,Jordan_Ayew
35,35,35,35.0,0,,,,0,0,0,,,0.0,,,140,,,355,,0,0,0.0,,0.0,,2021-05-16T11:00:00Z,,,,0,,,2,0,,0,0,,0,36,0,117167,,,,2,3,0.0,0,-1064,432,1496,56,True,,0,3,2,36,2020-21,,,,,,Jordan_Ayew
