Unnamed: 0,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,own_FDR,opp_FDR,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts
10,1,,,,0,21,0,,,47.4,,,231,,,105,,1,0,8.5,,24.4,,2020-12-06T14:15:00Z,,,,90,,,15,0,,0,0,,0,11,0,205527,,,,2,1,13.0,4,-6665,16465,23130,70,False,,1,4,2,,,,,
11,0,,,,3,48,1,,,18.5,,,231,,,114,,0,2,16.8,,72.4,,2020-12-13T19:15:00Z,,,,74,,,3,0,,0,0,,0,12,0,204432,,,,0,3,77.0,16,-2580,20371,22951,70,True,,0,4,3,,,,,
12,0,,,,0,15,0,,,62.1,,,231,,,123,,2,0,9.1,,17.6,,2020-12-16T18:00:00Z,,,,90,,,7,0,,0,0,,0,13,0,371978,,,,2,0,11.0,2,160865,170121,9256,71,True,,0,4,4,,,,,
13,0,,,,0,9,1,,,63.8,,,231,,,137,,0,0,10.1,,15.8,,2020-12-20T14:15:00Z,,,,90,,,17,0,,0,0,,0,14,0,390621,,,,2,0,21.0,3,19485,55996,36511,71,False,,0,4,4,,,,,
14,1,,,,0,15,0,,,38.1,,,231,,,143,,2,0,6.9,,22.8,,2020-12-26T12:30:00Z,,,,90,,,13,0,,0,0,,0,15,0,432220,,,,2,2,8.0,4,34910,77316,42406,71,True,,1,4,4,,,,,
15,0,,,,0,0,0,,,0.0,,,231,,,152,,0,0,0.0,,0.0,,2020-12-28T15:00:00Z,,,,0,,,6,0,,0,0,,0,16,0,544751,,,,1,1,0.0,0,105517,128815,23298,72,False,,0,4,3,,,,,
16,0,,,,2,27,1,,,37.3,,,231,,,165,,0,1,9.5,,36.6,,2021-01-03T14:15:00Z,,,,78,,,14,0,,0,0,,0,17,0,404886,,,,2,1,21.0,10,-135641,10223,145864,72,False,,0,4,2,,,,,
17,0,,,,1,25,1,,,36.7,,,231,,,183,,0,1,9.4,,36.8,,2021-01-16T20:00:00Z,,,,76,,,16,0,,0,0,,0,19,0,430945,,,,0,2,20.0,9,48095,79523,31428,71,True,,0,4,2,,,,,
18,0,,,,0,23,1,,,15.6,,,231,,,173,,0,1,7.4,,38.8,,2021-01-19T20:15:00Z,,,,75,,,5,0,,0,0,,0,19,0,430945,,,,0,2,20.0,8,48095,79523,31428,71,True,,0,4,4,,,,,
19,0,,,,0,12,0,,,17.8,,,231,,,191,,1,0,9.2,,18.6,,2021-01-27T20:15:00Z,,,,90,,,7,0,,0,0,,0,20,0,952450,,,,1,1,56.0,2,514549,553340,38791,72,False,,0,4,3,,,,,
