Unnamed: 0,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,own_FDR,opp_FDR,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts
25,0,13.0,0.0,0.0,0,2,0,0.0,11.0,11.5,2.0,0.0,270,0.0,0.0,266,0.0,0,0,4.8,13572.0,6.2,1.0,2019-02-06T19:45:00Z,06 Feb 19:45,0.0,0.0,31,0.0,0.0,8,0,0.0,0,0,2.0,0,25,0,762293,6.0,1.0,0.0,2,0,30.0,1,48736,91970,43234,113,False,0.0,0,4,3,,,,,
26,1,41.0,1.0,0.0,2,61,1,2.0,36.0,30.3,4.0,0.0,270,0.0,0.0,256,2.0,0,2,15.5,14191.0,78.8,2.0,2019-02-10T16:00:00Z,10 Feb 16:00,0.0,0.0,90,1.0,0.0,6,0,0.0,0,0,5.0,0,26,0,670049,5.0,0.0,0.0,0,6,46.0,18,-60001,23240,83241,113,True,1.0,0,5,4,,,,,
27,0,17.0,0.0,1.0,0,1,0,0.0,14.0,11.2,1.0,0.0,270,0.0,0.0,278,0.0,0,0,5.3,15275.0,11.6,0.0,2019-02-27T20:00:00Z,27 Feb 20:00,0.0,0.0,35,0.0,2.0,19,0,0.0,0,0,1.0,0,28,0,753839,3.0,1.0,1.0,0,1,30.0,1,108742,120532,11790,113,True,0.0,0,5,3,,,,,
28,0,43.0,0.0,0.0,0,3,1,0.0,36.0,21.3,0.0,0.0,270,0.0,0.0,281,2.0,0,0,6.7,15880.0,5.0,1.0,2019-03-02T15:00:00Z,02 Mar 15:00,0.0,0.0,90,0.0,0.0,2,0,0.0,0,0,1.0,0,29,0,846544,5.0,0.0,1.0,1,0,41.0,3,92405,117096,24691,114,False,0.0,0,4,3,,,,,
29,0,38.0,0.0,0.0,3,65,1,1.0,37.0,17.4,1.0,0.0,270,0.0,0.0,298,0.0,0,3,21.3,16486.0,100.8,1.0,2019-03-09T17:30:00Z,09 Mar 17:30,0.0,0.0,64,1.0,0.0,18,0,0.0,0,0,0.0,0,30,0,877578,4.0,0.0,1.0,1,3,95.0,21,29217,60343,31126,114,True,1.0,0,5,3,,,,,
30,0,33.0,1.0,0.0,0,6,1,0.0,29.0,45.8,1.0,0.0,270,0.0,0.0,316,3.0,0,0,14.1,17511.0,12.6,4.0,2019-03-30T12:30:00Z,30 Mar 12:30,0.0,0.0,87,1.0,0.0,9,0,0.0,0,0,2.0,0,32,0,1506193,9.0,1.0,1.0,2,0,83.0,3,522047,531865,9818,116,False,0.0,0,4,2,,,,,
31,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,270,0.0,0.0,325,0.0,0,0,0.0,17512.0,0.0,0.0,2019-04-03T18:45:00Z,03 Apr 19:45,0.0,0.0,0,0.0,0.0,5,0,0.0,0,0,0.0,0,32,0,1506193,0.0,0.0,0.0,0,2,0.0,0,522047,531865,9818,116,True,0.0,0,5,2,,,,,
32,0,43.0,0.0,1.0,2,37,0,0.0,38.0,6.7,1.0,0.0,270,0.0,0.0,333,3.0,1,2,13.0,18721.0,64.8,0.0,2019-04-14T13:05:00Z,14 Apr 14:05,0.0,0.0,90,1.0,0.0,7,0,0.0,0,0,2.0,0,34,0,1217879,4.0,0.0,2.0,3,1,58.0,14,107767,169792,62025,115,False,1.0,0,4,2,,,,,
33,0,19.0,0.0,1.0,0,-14,1,0.0,18.0,3.7,2.0,0.0,270,0.0,0.0,347,4.0,0,0,3.3,19404.0,3.8,0.0,2019-04-20T11:30:00Z,20 Apr 12:30,0.0,0.0,90,1.0,0.0,17,0,0.0,0,0,0.0,0,35,0,1420103,11.0,0.0,0.0,0,1,25.0,2,185998,207520,21522,116,True,0.0,1,5,4,,,,,
34,1,45.0,0.0,0.0,0,20,1,1.0,34.0,15.9,5.0,0.0,270,0.0,0.0,306,1.0,0,0,9.3,19403.0,35.4,1.0,2019-04-24T19:00:00Z,24 Apr 20:00,0.0,0.0,90,0.0,0.0,14,0,0.0,0,0,7.0,0,35,0,1420103,4.0,0.0,0.0,2,0,42.0,6,185998,207520,21522,116,False,0.0,0,4,4,,,,,
35,0,35.0,0.0,0.0,0,9,1,1.0,29.0,44.0,1.0,0.0,270,0.0,0.0,352,3.0,0,0,9.6,20206.0,7.8,4.0,2019-04-28T13:05:00Z,28 Apr 14:05,0.0,0.0,90,0.0,0.0,4,0,0.0,0,0,5.0,0,36,0,1451610,3.0,0.0,1.0,1,0,44.0,3,43911,78475,34564,116,False,0.0,0,4,3,,,,,
36,0,37.0,0.0,1.0,0,1,1,0.0,31.0,17.3,2.0,0.0,270,0.0,0.0,367,2.0,0,0,5.9,20821.0,1.0,1.0,2019-05-06T19:00:00Z,06 May 20:00,0.0,0.0,90,1.0,0.0,11,0,0.0,0,0,2.0,0,37,0,1457685,4.0,0.0,2.0,0,1,41.0,3,5880,45461,39581,116,True,0.0,0,5,3,,,,,
37,1,32.0,0.0,0.0,0,20,0,1.0,29.0,20.5,0.0,0.0,270,0.0,0.0,371,0.0,1,0,6.5,21437.0,13.2,1.0,2019-05-12T14:00:00Z,12 May 15:00,0.0,0.0,90,0.0,1.0,3,0,0.0,0,0,2.0,0,38,0,1576105,3.0,0.0,0.0,4,1,31.0,5,107351,133829,26478,117,False,0.0,0,4,2,,,,,
0,0,,,,3,55,1,,,12.7,,,214,,,8,,0,3,19.0,,103.6,,2019-08-10T11:30:00Z,,,,90,,,19,0,,0,0,,0,1,0,1768195,,,,5,0,74.0,20,0,0,0,120,False,,1,4,2,,,,,
1,0,,,,0,20,0,,,30.6,,,214,,,16,,2,1,19.7,,44.4,,2019-08-17T16:30:00Z,,,,90,,,17,0,,0,0,,0,2,0,2358491,,,,2,2,122.0,6,287873,314059,26186,121,True,,1,4,3,,,,,
2,0,,,,1,30,0,,,12.8,,,214,,,22,,1,1,12.1,,43.2,,2019-08-25T13:00:00Z,,,,90,,,3,0,,0,0,,0,3,0,2784422,,,,3,1,65.0,8,331963,360262,28299,122,False,,0,4,2,,,,,
3,0,,,,0,12,1,,,14.5,,,214,,,37,,0,0,3.0,,5.0,,2019-08-31T14:00:00Z,,,,90,,,4,0,,0,0,,0,4,0,3117805,,,,0,4,10.0,3,257923,285573,27650,123,True,,0,4,2,,,,,
4,0,,,,0,19,0,,,57.8,,,214,,,46,,3,0,17.3,,20.4,,2019-09-14T16:30:00Z,,,,90,,,14,0,,0,0,,0,5,0,3082372,,,,2,3,95.0,2,-53559,97908,151467,123,False,,0,4,2,,,,,
5,0,,,,0,0,0,,,0.0,,,214,,,57,,0,0,0.0,,0.0,,2019-09-21T14:00:00Z,,,,0,,,18,0,,0,0,,0,6,0,2983608,,,,0,8,0.0,0,-113776,47865,161641,122,True,,0,4,2,,,,,
6,0,,,,0,20,0,,,52.3,,,214,,,65,,1,1,17.5,,46.2,,2019-09-28T16:30:00Z,,,,85,,,8,0,,0,0,,0,7,0,2594274,,,,3,1,76.0,7,-389049,28794,417843,121,False,,0,4,4,,,,,
7,0,,,,0,11,0,,,18.1,,,214,,,75,,2,0,7.9,,12.0,,2019-10-06T13:00:00Z,,,,90,,,20,0,,0,0,,0,8,0,2660322,,,,2,0,49.0,2,30421,114576,84155,121,True,,0,4,4,,,,,
8,1,,,,0,20,1,,,41.8,,,214,,,84,,0,0,9.9,,21.2,,2019-10-19T16:30:00Z,,,,90,,,7,0,,0,0,,0,9,0,2633111,,,,2,0,36.0,5,-29518,96344,125862,121,False,,1,4,3,,,,,
9,0,,,,3,36,1,,,37.3,,,214,,,95,,0,1,15.9,,39.0,,2019-10-26T11:30:00Z,,,,75,,,2,0,,0,0,,0,10,0,2657386,,,,0,3,83.0,11,16083,70951,54868,121,True,,0,4,2,,,,,
10,0,,,,0,2,0,,,49.6,,,214,,,107,,1,0,10.8,,12.6,,2019-11-02T15:00:00Z,,,,90,,,16,0,,0,0,,0,11,0,2776202,,,,1,2,46.0,1,99209,135057,35848,121,True,,1,4,3,,,,,
