Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,own_FDR,opp_FDR,gw,season,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts,player
21,21,21,21.0,0,,,,0,15,0,,,42.6,,,100,,,220,,1,0,10.1,,20.4,,2021-02-06T15:00:00Z,,,,90,,,3,0,,0,0,,0,23,0,27170,,,,1,1,38.0,2,2580,3436,856,57,True,,0,2,3,23,2020-21,,,,,,Dwight_McNeil
22,22,22,22.0,1,,,,0,23,1,,,31.1,,,100,,,232,,0,0,6.1,,30.2,,2021-02-13T15:00:00Z,,,,90,,,6,0,,0,0,,0,24,0,46231,,,,3,0,0.0,6,14921,17675,2754,57,False,,0,2,3,24,2020-21,,,,,,Dwight_McNeil
23,23,23,23.0,0,,,,0,13,0,,,25.4,,,100,,,160,,1,0,3.8,,12.4,,2021-02-17T18:00:00Z,,,,90,,,8,0,,0,0,,0,24,0,46231,,,,1,1,0.0,2,14921,17675,2754,57,True,,0,2,2,24,2020-21,,,,,,Dwight_McNeil
24,24,24,24.0,0,,,,0,4,1,,,17.3,,,100,,,242,,0,0,2.9,,9.8,,2021-02-20T15:00:00Z,,,,90,,,18,0,,0,0,,0,25,0,38369,,,,0,0,2.0,3,-4123,2421,6544,57,True,,0,2,2,25,2020-21,,,,,,Dwight_McNeil
25,25,25,25.0,0,,,,0,14,0,,,18.8,,,100,,,257,,4,0,3.7,,8.0,,2021-02-28T14:00:00Z,,,,90,,,17,0,,0,0,,0,26,0,33654,,,,0,4,10.0,2,-4662,967,5629,57,False,,0,2,4,26,2020-21,,,,,,Dwight_McNeil
26,26,26,26.0,0,,,,0,11,0,,,26.5,,,100,,,280,,1,0,3.9,,11.2,,2021-03-03T18:00:00Z,,,,90,,,9,0,,0,0,,0,26,0,33654,,,,1,1,1.0,2,-4662,967,5629,57,True,,0,2,4,26,2020-21,,,,,,Dwight_McNeil
27,27,27,27.0,0,,,,0,13,0,,,27.3,,,100,,,261,,1,0,6.5,,18.6,,2021-03-06T12:30:00Z,,,,90,,,1,0,,0,0,,0,27,0,32270,,,,1,1,19.0,2,-1752,1150,2902,57,True,,0,2,3,27,2020-21,,,,,,Dwight_McNeil
28,28,28,28.0,0,,,,3,37,0,,,49.8,,,100,,,271,,1,1,11.3,,48.2,,2021-03-13T17:30:00Z,,,,90,,,7,0,,0,0,,0,28,0,30545,,,,2,1,15.0,10,-1818,711,2529,57,False,,0,2,3,28,2020-21,,,,,,Dwight_McNeil
29,29,29,29.0,0,,,,0,16,0,,,17.1,,,100,,,297,,3,0,3.7,,18.0,,2021-04-04T11:00:00Z,,,,90,,,16,0,,0,0,,0,30,0,32035,,,,2,3,2.0,2,907,2022,1115,57,False,,0,2,2,30,2020-21,,,,,,Dwight_McNeil
30,30,30,30.0,0,,,,0,18,0,,,58.7,,,100,,,300,,2,0,10.9,,23.4,,2021-04-11T11:00:00Z,,,,90,,,14,0,,0,0,,0,31,0,33837,,,,2,1,27.0,2,1638,3198,1560,57,True,,0,2,2,31,2020-21,,,,,,Dwight_McNeil
31,31,31,31.0,0,,,,0,12,0,,,26.0,,,100,,,315,,3,0,6.7,,16.6,,2021-04-18T15:00:00Z,,,,90,,,13,0,,0,0,,0,32,0,31656,,,,1,3,24.0,2,-2189,1077,3266,57,False,,0,2,4,32,2020-21,,,,,,Dwight_McNeil
